State,mean,sem,std
AK,-2.4154690302595068,0.18951189035279636,1.18350137592591
AL,-2.0287318473382348,0.13260893575177066,0.849111490612338
AR,-2.218162787750791,0.16510324485287864,1.0177647545067006
AZ,-1.9840190943656122,0.12782433227828538,0.8855929517982268
CA,-2.0920479723645804,0.0869695709713109,0.7171694546587327
CO,-2.104618121630606,0.14296341241814423,0.9801077760334822
CT,-1.7606808107579057,0.13294179244050933,0.8818360889649506
DE,-1.8563901367923998,0.11486915765852462,0.7532474396841295
FL,-1.927355978991114,0.13781979946123393,0.9938327074632863
GA,-1.8940160825657673,0.1169584505562932,0.8270211350542646
HI,-2.479390218025559,0.20118685784426926,1.3345226404400223
IA,-2.021360270309203,0.10251918545403468,0.6877196030193876
ID,-2.3295347038432777,0.21262646499530774,1.3614736715311222
IL,-1.8745180429824386,0.10150395648660818,0.7595860571497964
IN,-1.876938316971798,0.12873071177258388,0.8918725331384811
KS,-1.9488446678446771,0.1262112797665676,0.837190918592558
KY,-1.9620345447725647,0.120800507374914,0.8281665541156095
LA,-2.155037612539543,0.19021358189232668,1.2473138697462163
MA,-1.8309270895681125,0.11868867431454766,0.8558762021158947
MD,-1.8460714778598846,0.0975096700027891,0.6755668106964223
ME,-2.367366994825026,0.1855122151411088,1.1878577611098908
MI,-1.9580350824216566,0.17844800595510646,1.1701618288348878
MN,-2.0360225183184926,0.12232700003007914,0.8386316605094707
MO,-1.9804083264168368,0.15510321048427966,1.028838305911747
MS,-1.9590430559466931,0.14753193375613766,0.9446653008292625
MT,-2.6506869684624585,0.22016763601680547,1.4097607264775005
NC,-1.9289203994299984,0.12310658259405353,0.8529074231963004
ND,-2.1750646197067756,0.15148914921700252,0.9460494336392571
NE,-1.958296045495352,0.10057138703659203,0.682108333742774
NH,-2.1217412327412846,0.12381287663749888,0.8488183173087561
NJ,-1.8087291294004046,0.13665088084169202,0.9565561658918441
NM,-2.0586376986469235,0.11395560652280443,0.7472568842728381
NV,-2.122768392630763,0.14744665235632473,1.021540373148399
NY,-1.9019269414380473,0.15604659037356222,1.1252679659064078
OH,-1.869547219444839,0.12152535081619514,0.8061079823472592
OK,-2.0436330011242787,0.13932451983121874,0.9449448682358058
OR,-2.232582459293422,0.1411007784435996,0.9977331726816991
PA,-1.833302217535109,0.12901641574476988,0.8938519483214827
RI,-1.849515093766728,0.10623967272461926,0.7283425010596374
SC,-2.078944708823157,0.15493722284602404,1.0393504875862296
SD,-1.9953999291659037,0.08786523368967918,0.5557085312046931
TN,-2.08949698764559,0.1672902564190661,1.1346177219957465
TX,-1.9367720127998735,0.11880504464907217,0.8316353125435052
UT,-2.0775359886601668,0.14574820999112234,0.9885124546096269
VA,-1.843749450753538,0.10597112105209362,0.7187311116570119
VT,-2.4726723364796133,0.21832426581948083,1.4481993447060644
WA,-2.2478819148191302,0.17004127275879355,1.2379191513971388
WI,-2.1529994534554096,0.14642707320094991,0.9712873219149106
WV,-2.135457506651428,0.18690482417302412,1.1214289450381447
WY,-2.4395290607172924,0.18562008304889158,1.188548452724656
