State,Enplanements
AK,5160582
AL,2570817
AR,1935330
AS,76879
AZ,24950859
CA,118022016
CO,33383438
CT,3318583
DE,1142
FL,91179499
GA,53732226
GU,1738356
HI,17840432
IA,2083628
ID,2354117
IL,51899747
IN,5632007
KS,953856
KY,6852053
LA,7797742
MA,20316801
MD,13463431
ME,1442146
MI,20365838
MN,18796280
MO,14144879
MP,645470
MS,944027
MT,2194291
NC,31246051
ND,1096041
NE,2712135
NH,1014977
NJ,23798603
NM,2861043
NV,26132213
NY,54614955
OH,10309530
OK,3655090
OR,11314233
PA,21687400
PR,4506748
RI,2152538
SC,5231187
SD,904615
TN,12015176
TX,86473609
UT,12544177
VA,27886153
VI,665206
VT,664749
WA,26994423
WI,5477848
WK,872
WV,377487
WY,603662
